iter	Logloss
0	0.6620584751
1	0.6308732032
2	0.6021366007
3	0.5788596506
4	0.5570721581
5	0.5325758746
6	0.5092497865
7	0.487142859
8	0.4661943805
9	0.446445821
10	0.4273992482
11	0.4119471569
12	0.397430844
13	0.38270379
14	0.3687453786
15	0.3568204647
16	0.3443712531
17	0.3322977001
18	0.3216396586
19	0.3102070956
20	0.3001951133
21	0.291052412
22	0.2821060949
23	0.2741597683
24	0.2658944287
25	0.2587289893
26	0.2517905631
27	0.2445368299
28	0.2377413356
29	0.2301651156
30	0.2247782865
31	0.2185605672
32	0.212751379
33	0.2080465473
34	0.2027224165
35	0.1982593068
36	0.1945274345
37	0.1900183633
38	0.1864847316
39	0.1831140238
40	0.1798140568
41	0.1762383382
42	0.1728108442
43	0.1696592928
44	0.1662589219
45	0.1631011079
46	0.1599599571
47	0.1569622789
48	0.1541683175
49	0.1517053029
50	0.1494863705
51	0.1476679334
52	0.1458709354
53	0.1439432988
54	0.1417940918
55	0.1399664009
56	0.1378596408
57	0.1361138267
58	0.1345654616
59	0.133081719
60	0.1316853134
61	0.1302297058
62	0.1288373041
63	0.1275617598
64	0.1263674502
65	0.1250243037
66	0.1236665855
67	0.1224642021
68	0.1213232264
69	0.1201104451
70	0.1187943728
71	0.1177112872
72	0.1168331522
73	0.1160057327
74	0.1152326701
75	0.1143590292
76	0.1133890922
77	0.1122793707
78	0.1114815624
79	0.1105594517
80	0.1098318421
81	0.1091758428
82	0.1085294104
83	0.1078262874
84	0.1071664659
85	0.1064813754
86	0.1059501922
87	0.1053265868
88	0.1047627773
89	0.1040594122
90	0.1033430363
91	0.1026649681
92	0.102216163
93	0.1016623294
94	0.1008659001
95	0.100413919
96	0.09987790551
97	0.0992787934
98	0.09885856123
99	0.0984204409
100	0.097867342
101	0.09734667845
102	0.09664640832
103	0.09630123419
104	0.09578714962
105	0.09536059564
106	0.09488064168
107	0.09447836414
108	0.093946634
109	0.09362623119
110	0.09322411589
111	0.09261713634
112	0.09229857323
113	0.09195587125
114	0.09163445763
115	0.09138709316
116	0.09096763036
117	0.0906850257
118	0.09018457522
119	0.08994794648
120	0.0896255466
121	0.08939268418
122	0.08908352586
123	0.08870537565
124	0.08840322858
125	0.08823869873
126	0.08790300672
127	0.08760455864
128	0.08736517625
129	0.0870550042
