iter	Passed	Remaining
407	64519	93616
408	64696	93485
409	64849	93319
410	65016	93174
411	65173	93014
412	65351	92885
413	65503	92716
414	65661	92558
415	65856	92453
416	66030	92316
417	66203	92177
418	66346	91998
419	66509	91846
420	66666	91685
421	66827	91531
422	66985	91372
423	67158	91234
424	67283	91030
425	67432	90859
426	67579	90685
427	67731	90519
428	67884	90355
429	68043	90196
430	68206	90044
431	68360	89881
432	68521	89726
433	68684	89575
434	68867	89448
435	69016	89278
436	69168	89111
437	69305	88926
438	69461	88764
439	69595	88576
440	69750	88413
441	69890	88232
442	70051	88078
443	70216	87928
444	70374	87769
445	70547	87630
446	70690	87453
447	70822	87263
448	70978	87103
449	71109	86911
450	71235	86715
451	71375	86534
452	71561	86411
453	71728	86264
454	71909	86133
455	72089	86001
456	72241	85836
457	72428	85711
458	72619	85593
459	72766	85421
460	72893	85226
461	73078	85100
462	73229	84933
463	73394	84782
464	73553	84626
465	73729	84488
466	73909	84354
467	74082	84213
468	74262	84079
469	74419	83919
470	74586	83771
471	74761	83631
472	74908	83460
473	75083	83320
474	75234	83153
475	75394	82997
476	75521	82804
477	75722	82692
478	75866	82518
479	76031	82367
480	76197	82217
481	76346	82048
482	76495	81879
483	76648	81716
484	76802	81552
485	76947	81380
486	77080	81195
487	77233	81032
488	77413	80896
489	77560	80726
490	77751	80601
491	77913	80446
492	78041	80257
493	78166	80065
494	78320	79902
495	78483	79748
496	78644	79593
497	78799	79432
498	78939	79256
499	79092	79092
500	79238	78922
501	79357	78725
502	79499	78551
503	79674	78409
504	79805	78225
505	79946	78050
506	80084	77873
507	80228	77701
508	80388	77545
509	80580	77420
510	80730	77255
511	80947	77152
512	81095	76985
513	81249	76823
514	81463	76717
515	81648	76584
516	81802	76422
517	81940	76245
518	82130	76117
519	82305	75974
520	82466	75818
521	82642	75676
522	82814	75530
523	82963	75363
524	83115	75199
525	83273	75041
526	83415	74868
527	83538	74678
528	83691	74515
529	83826	74336
530	83986	74179
531	84129	74008
532	84280	73844
533	84448	73694
534	84593	73525
535	84756	73371
536	84936	73232
537	85124	73099
538	85266	72927
539	85403	72751
540	85553	72585
541	85700	72418
542	85841	72245
543	86005	72092
544	86167	71937
545	86358	71806
546	86489	71626
547	86644	71465
548	86836	71335
549	86954	71144
550	87114	70987
551	87280	70835
552	87431	70672
553	87610	70531
554	87754	70361
555	87895	70190
556	88047	70026
557	88242	69897
558	88402	69741
559	88530	69559
560	88690	69403
561	88916	69298
562	89071	69137
563	89225	68975
564	89388	68821
565	89516	68640
566	89682	68487
567	89836	68326
568	89977	68155
569	90126	67990
570	90260	67813
571	90397	67640
572	90566	67490
573	90717	67326
574	90872	67166
